Cycle,Run1_Patterns,Run2_Patterns,Run1_Rate,Run2_Rate
10,18,16,1.7187878787878788,1.4139393939393938
20,35,27,1.7187878787878788,1.4139393939393938
30,52,41,1.7187878787878788,1.4139393939393938
40,70,57,1.7187878787878788,1.4139393939393938
50,87,71,1.7187878787878788,1.4139393939393938
60,105,83,1.7187878787878788,1.4139393939393938
70,121,97,1.7187878787878788,1.4139393939393938
80,138,113,1.7187878787878788,1.4139393939393938
90,155,128,1.7187878787878788,1.4139393939393938
100,173,142,1.7187878787878788,1.4139393939393938
